run,model,lang,problem,msgs,tool_calls,writes,edits,bash,code_tok,text_tok,cmd_tok,think_tok,gen_tok,final_tok,total_tok,code_share_gen,code_share_total,waste_tok
haiku-1,haiku,c,brackets,8,2,1,0,1,340,230,34,0,604,340,54469,0.5629,0.00624,0
haiku-1,haiku,c,calc,26,10,1,0,6,565,327,195,0,1087,565,235113,0.5198,0.0024,0
haiku-1,haiku,c,dijkstra,18,9,1,0,1,740,233,269,0,1242,740,101497,0.5958,0.00729,0
haiku-1,haiku,c,lcs,26,10,1,0,3,474,324,244,0,1042,474,208835,0.4549,0.00227,0
haiku-1,haiku,c,primes,28,11,1,0,4,255,314,252,0,821,255,220565,0.3106,0.00116,0
haiku-1,haiku,c,rle,13,4,1,0,3,200,159,67,0,426,200,93979,0.4695,0.00213,0
haiku-1,haiku,c,roman,7,2,1,0,1,216,283,3,0,502,216,53136,0.4303,0.00407,0
haiku-1,haiku,c,transpose,14,5,1,0,4,246,229,56,0,531,246,109755,0.4633,0.00224,0
haiku-1,haiku,c,wordfreq,24,12,1,0,2,701,219,399,0,1319,701,158001,0.5315,0.00444,0
haiku-1,haiku,forth,anagrams,95,45,12,0,23,7946,380,1337,0,9663,32,1598608,0.8223,0.00497,7914
haiku-1,haiku,forth,brackets,91,40,4,2,29,2016,289,1973,0,4278,501,2124573,0.4712,0.00095,1515
haiku-1,haiku,forth,calc,93,46,11,4,19,3609,155,748,0,4512,82,2202573,0.7999,0.00164,3527
haiku-1,haiku,forth,dijkstra,90,40,18,0,14,13398,144,501,0,14043,507,1383597,0.9541,0.00968,12891
haiku-1,haiku,forth,lcs,102,40,18,2,18,8535,393,335,0,9263,444,1389128,0.9214,0.00614,8091
haiku-1,haiku,forth,roman,93,40,1,9,20,810,316,562,0,1688,275,1519807,0.4799,0.00053,535
haiku-1,haiku,forth,transpose,61,24,6,0,14,1504,518,275,0,2297,322,847195,0.6548,0.00178,1182
haiku-1,haiku,forth,wordfreq,96,40,12,5,15,8053,346,464,0,8863,597,1249555,0.9086,0.00644,7456
haiku-1,haiku,go,anagrams,21,10,1,0,2,255,306,247,0,808,255,113149,0.3156,0.00225,0
haiku-1,haiku,go,brackets,7,2,1,0,1,260,255,3,0,518,260,53853,0.5019,0.00483,0
haiku-1,haiku,go,calc,18,9,1,0,2,700,290,230,0,1220,700,106327,0.5738,0.00658,0
haiku-1,haiku,go,dijkstra,30,12,1,0,4,760,339,392,0,1491,760,254978,0.5097,0.00298,0
haiku-1,haiku,go,lcs,17,9,1,0,2,327,294,250,0,871,327,91478,0.3754,0.00357,0
haiku-1,haiku,go,primes,21,10,1,0,2,338,271,248,0,857,338,108522,0.3944,0.00311,0
haiku-1,haiku,go,rle,8,2,1,0,1,137,206,3,0,346,137,56890,0.396,0.00241,0
haiku-1,haiku,go,roman,8,2,1,0,1,221,164,34,0,419,221,54231,0.5274,0.00408,0
haiku-1,haiku,go,transpose,11,3,1,0,2,245,217,11,0,473,245,73585,0.518,0.00333,0
haiku-1,haiku,go,wordfreq,21,10,1,0,2,462,285,247,0,994,462,112537,0.4648,0.00411,0
haiku-1,haiku,haskell,anagrams,13,4,1,0,1,181,307,81,0,569,181,99807,0.3181,0.00181,0
haiku-1,haiku,haskell,brackets,14,5,1,0,4,182,343,55,0,580,182,130098,0.3138,0.0014,0
haiku-1,haiku,haskell,calc,26,10,1,0,4,584,337,346,0,1267,584,264589,0.4609,0.00221,0
haiku-1,haiku,haskell,dijkstra,28,11,1,0,4,615,340,413,0,1368,615,288140,0.4496,0.00213,0
haiku-1,haiku,haskell,lcs,8,2,1,0,1,207,317,35,0,559,207,58872,0.3703,0.00352,0
haiku-1,haiku,haskell,primes,18,9,1,0,1,109,248,245,0,602,109,90790,0.1811,0.0012,0
haiku-1,haiku,haskell,rle,8,2,1,0,1,67,145,35,0,247,67,52605,0.2713,0.00127,0
haiku-1,haiku,haskell,roman,35,14,1,1,4,267,356,358,0,981,202,293696,0.2722,0.00091,65
haiku-1,haiku,haskell,transpose,9,3,1,0,2,109,191,12,0,312,109,71627,0.3494,0.00152,0
haiku-1,haiku,haskell,wordfreq,34,14,1,0,5,287,340,437,0,1064,287,332729,0.2697,0.00086,0
haiku-1,haiku,java,anagrams,18,9,1,0,1,277,190,239,0,706,277,93725,0.3924,0.00296,0
haiku-1,haiku,java,brackets,8,2,1,0,1,259,249,34,0,542,259,53955,0.4779,0.0048,0
haiku-1,haiku,java,calc,23,12,1,0,5,483,309,258,0,1050,483,116314,0.46,0.00415,0
haiku-1,haiku,java,dijkstra,20,10,1,0,1,495,375,304,0,1174,495,112663,0.4216,0.00439,0
haiku-1,haiku,java,lcs,18,9,1,0,1,280,373,239,0,892,280,92650,0.3139,0.00302,0
haiku-1,haiku,java,primes,22,11,1,0,3,242,286,355,0,883,242,131429,0.2741,0.00184,0
haiku-1,haiku,java,rle,19,9,1,0,1,179,153,239,0,571,179,107940,0.3135,0.00166,0
haiku-1,haiku,java,roman,26,10,1,0,3,254,264,331,0,849,254,203888,0.2992,0.00125,0
haiku-1,haiku,java,transpose,18,9,1,0,2,182,250,240,0,672,182,92093,0.2708,0.00198,0
haiku-1,haiku,java,wordfreq,42,21,1,0,4,433,147,687,0,1267,433,349479,0.3418,0.00124,0
haiku-1,haiku,javascript,anagrams,8,2,1,0,1,196,209,3,0,408,196,53615,0.4804,0.00366,0
haiku-1,haiku,javascript,brackets,18,9,1,0,1,214,371,239,0,824,214,94409,0.2597,0.00227,0
haiku-1,haiku,javascript,calc,18,9,1,0,1,533,187,263,0,983,533,101291,0.5422,0.00526,0
haiku-1,haiku,javascript,dijkstra,23,9,1,0,2,483,257,267,0,1007,483,190352,0.4796,0.00254,0
haiku-1,haiku,javascript,lcs,18,9,1,0,2,328,294,245,0,867,328,93459,0.3783,0.00351,0
haiku-1,haiku,javascript,primes,9,3,1,0,2,248,273,109,0,630,248,71995,0.3937,0.00344,0
haiku-1,haiku,javascript,rle,11,3,1,0,2,159,218,122,0,499,159,70962,0.3186,0.00224,0
haiku-1,haiku,javascript,roman,36,15,1,0,7,215,273,340,0,828,215,306332,0.2597,0.0007,0
haiku-1,haiku,javascript,transpose,7,2,1,0,1,233,71,3,0,307,233,52602,0.759,0.00443,0
haiku-1,haiku,javascript,wordfreq,8,2,1,0,1,252,191,35,0,478,252,53393,0.5272,0.00472,0
haiku-1,haiku,k,anagrams,91,40,1,12,21,831,281,628,0,1740,112,1549213,0.4776,0.00054,719
haiku-1,haiku,k,brackets,85,40,1,9,14,1624,178,1186,0,2988,164,1215975,0.5435,0.00134,1460
haiku-1,haiku,k,calc,87,40,12,6,21,4128,92,262,0,4482,197,1236630,0.921,0.00334,3931
haiku-1,haiku,k,dijkstra,83,40,1,6,21,2071,55,997,0,3123,324,1001793,0.6631,0.00207,1747
haiku-1,haiku,k,lcs,92,40,13,2,18,2334,231,500,0,3065,66,1237372,0.7615,0.00189,2268
haiku-1,haiku,k,primes,96,45,1,17,18,1556,193,470,0,2219,13,1439805,0.7012,0.00108,1543
haiku-1,haiku,k,rle,97,40,17,0,14,1330,250,454,0,2034,8,1440007,0.6539,0.00092,1322
haiku-1,haiku,k,roman,84,40,8,3,20,342,112,1281,0,1735,147,1176417,0.1971,0.00029,195
haiku-1,haiku,k,transpose,91,40,1,5,24,425,240,757,0,1422,83,1355253,0.2989,0.00031,342
haiku-1,haiku,k,wordfreq,85,40,13,0,20,2178,109,609,0,2896,25,1150661,0.7521,0.00189,2153
haiku-1,haiku,lisp,anagrams,19,8,1,0,2,271,380,174,0,825,271,163421,0.3285,0.00166,0
haiku-1,haiku,lisp,brackets,8,2,1,0,1,243,205,36,0,484,243,59625,0.5021,0.00408,0
haiku-1,haiku,lisp,calc,36,15,1,2,10,1201,299,255,0,1755,788,324790,0.6843,0.0037,413
haiku-1,haiku,lisp,dijkstra,22,8,1,0,4,458,314,277,0,1049,458,179182,0.4366,0.00256,0
haiku-1,haiku,lisp,lcs,8,2,1,0,1,225,236,3,0,464,225,55907,0.4849,0.00402,0
haiku-1,haiku,lisp,primes,18,9,1,0,1,203,282,244,0,729,203,100718,0.2785,0.00202,0
haiku-1,haiku,lisp,rle,8,2,1,0,1,112,175,35,0,322,112,63982,0.3478,0.00175,0
haiku-1,haiku,lisp,roman,43,18,2,1,5,617,398,499,0,1514,218,350820,0.4075,0.00176,399
haiku-1,haiku,lisp,transpose,19,9,1,0,3,156,218,176,0,550,156,130995,0.2836,0.00119,0
haiku-1,haiku,lisp,wordfreq,28,11,1,0,3,534,243,363,0,1140,534,264323,0.4684,0.00202,0
haiku-1,haiku,perl,anagrams,8,2,1,0,1,183,296,3,0,482,183,54478,0.3797,0.00336,0
haiku-1,haiku,perl,brackets,7,2,1,0,1,233,223,34,0,490,233,55206,0.4755,0.00422,0
haiku-1,haiku,perl,calc,22,8,1,0,6,348,240,183,0,771,348,169453,0.4514,0.00205,0
haiku-1,haiku,perl,dijkstra,22,11,1,0,3,449,273,351,0,1073,449,136347,0.4185,0.00329,0
haiku-1,haiku,perl,lcs,28,13,1,0,3,258,429,371,0,1058,258,164464,0.2439,0.00157,0
haiku-1,haiku,perl,primes,30,11,1,1,6,264,336,606,0,1206,211,239309,0.2189,0.0011,53
haiku-1,haiku,perl,rle,8,2,1,0,1,161,193,3,0,357,161,55792,0.451,0.00289,0
haiku-1,haiku,perl,roman,8,2,1,0,1,202,150,34,0,386,202,53533,0.5233,0.00377,0
haiku-1,haiku,perl,transpose,8,2,1,0,1,130,169,34,0,333,130,55519,0.3904,0.00234,0
haiku-1,haiku,perl,wordfreq,18,9,1,0,1,137,201,276,0,614,137,90029,0.2231,0.00152,0
haiku-1,haiku,prolog,anagrams,8,2,1,0,1,536,270,35,0,841,536,77155,0.6373,0.00695,0
haiku-1,haiku,prolog,brackets,11,3,1,0,2,203,348,87,0,638,203,80910,0.3182,0.00251,0
haiku-1,haiku,prolog,calc,21,10,1,0,3,811,379,325,0,1515,811,185183,0.5353,0.00438,0
haiku-1,haiku,prolog,dijkstra,26,11,1,1,4,869,415,379,0,1663,770,359009,0.5225,0.00242,99
haiku-1,haiku,prolog,lcs,29,13,1,1,4,441,397,264,0,1102,329,287881,0.4002,0.00153,112
haiku-1,haiku,prolog,primes,55,25,1,0,14,1173,464,527,0,2164,259,555459,0.5421,0.00211,914
haiku-1,haiku,prolog,rle,20,7,1,0,6,208,459,306,0,973,208,191108,0.2138,0.00109,0
haiku-1,haiku,prolog,roman,32,12,1,1,10,439,366,89,0,894,371,303128,0.4911,0.00145,68
haiku-1,haiku,prolog,transpose,35,15,1,2,5,699,420,261,0,1380,278,297563,0.5065,0.00235,421
haiku-1,haiku,prolog,wordfreq,48,23,1,2,9,947,351,549,0,1847,503,420672,0.5127,0.00225,444
haiku-1,haiku,python,anagrams,17,9,1,0,1,158,353,239,0,750,158,95043,0.2107,0.00166,0
haiku-1,haiku,python,brackets,8,2,1,0,1,124,266,3,0,393,124,54099,0.3155,0.00229,0
haiku-1,haiku,python,calc,21,10,1,0,3,383,302,321,0,1006,383,125031,0.3807,0.00306,0
haiku-1,haiku,python,dijkstra,8,2,1,0,1,275,213,33,0,521,275,55279,0.5278,0.00497,0
haiku-1,haiku,python,lcs,15,5,1,0,4,216,302,49,0,567,216,108276,0.381,0.00199,0
haiku-1,haiku,python,primes,18,9,1,0,2,203,232,245,0,680,203,90512,0.2985,0.00224,0
haiku-1,haiku,python,rle,11,3,1,0,2,33,246,28,0,307,33,71250,0.1075,0.00046,0
haiku-1,haiku,python,roman,7,2,1,0,1,170,192,4,0,366,170,54822,0.4645,0.0031,0
haiku-1,haiku,python,transpose,8,2,1,0,1,74,165,33,0,272,74,52295,0.2721,0.00142,0
haiku-1,haiku,python,wordfreq,23,9,1,0,2,120,188,249,0,557,120,180150,0.2154,0.00067,0
haiku-1,haiku,ruby,anagrams,7,2,1,0,1,88,223,35,0,346,88,54632,0.2543,0.00161,0
haiku-1,haiku,ruby,brackets,18,9,1,0,1,167,291,238,0,696,167,92641,0.2399,0.0018,0
haiku-1,haiku,ruby,calc,33,13,1,0,5,664,302,345,0,1311,664,273846,0.5065,0.00242,0
haiku-1,haiku,ruby,dijkstra,29,14,1,0,4,355,319,514,0,1188,355,220475,0.2988,0.00161,0
haiku-1,haiku,ruby,lcs,13,4,1,0,2,169,224,49,0,442,169,91651,0.3824,0.00184,0
haiku-1,haiku,ruby,primes,26,10,1,0,3,137,245,244,0,626,137,197064,0.2188,0.0007,0
haiku-1,haiku,ruby,rle,23,9,1,0,2,41,250,236,0,527,41,185969,0.0778,0.00022,0
haiku-1,haiku,ruby,roman,18,9,1,0,1,201,264,264,0,729,201,94871,0.2757,0.00212,0
haiku-1,haiku,ruby,transpose,8,2,1,0,1,65,149,3,0,217,65,51938,0.2995,0.00125,0
haiku-1,haiku,ruby,wordfreq,8,2,1,0,1,129,178,3,0,310,129,52034,0.4161,0.00248,0
haiku-1,haiku,rust,anagrams,7,2,1,0,1,264,277,34,0,575,264,59161,0.4591,0.00446,0
haiku-1,haiku,rust,brackets,8,2,1,0,1,223,212,34,0,469,223,54196,0.4755,0.00411,0
haiku-1,haiku,rust,calc,24,9,1,0,6,830,299,160,0,1289,830,191965,0.6439,0.00432,0
haiku-1,haiku,rust,dijkstra,23,9,1,0,2,640,248,283,0,1171,640,191140,0.5465,0.00335,0
haiku-1,haiku,rust,lcs,18,9,1,0,1,322,339,271,0,932,322,97143,0.3455,0.00331,0
haiku-1,haiku,rust,primes,17,6,1,0,1,232,260,125,0,617,232,125839,0.376,0.00184,0
haiku-1,haiku,rust,rle,20,10,1,0,3,151,251,239,0,641,151,114258,0.2356,0.00132,0
haiku-1,haiku,rust,roman,8,2,1,0,1,232,210,3,0,445,232,53465,0.5213,0.00434,0
haiku-1,haiku,rust,transpose,18,9,1,0,2,230,127,239,0,596,230,93820,0.3859,0.00245,0
haiku-1,haiku,rust,wordfreq,18,7,1,0,1,291,265,163,0,719,291,113434,0.4047,0.00257,0
haiku-1,haiku,scheme,anagrams,18,6,1,1,3,442,381,52,0,875,409,164171,0.5051,0.00269,33
haiku-1,haiku,scheme,brackets,15,5,1,1,3,341,350,22,0,713,334,127586,0.4783,0.00267,7
haiku-1,haiku,scheme,calc,45,17,1,3,11,1438,431,217,0,2086,902,375249,0.6894,0.00383,536
haiku-1,haiku,scheme,dijkstra,31,12,1,1,4,840,367,253,0,1460,659,274670,0.5753,0.00306,181
haiku-1,haiku,scheme,lcs,31,14,1,1,5,667,500,412,0,1579,339,216786,0.4224,0.00308,328
haiku-1,haiku,scheme,primes,15,5,1,0,4,317,215,27,0,559,317,128886,0.5671,0.00246,0
haiku-1,haiku,scheme,rle,22,7,1,2,3,190,321,136,0,647,158,177868,0.2937,0.00107,32
haiku-1,haiku,scheme,roman,36,15,1,1,6,247,321,290,0,858,238,336852,0.2879,0.00073,9
haiku-1,haiku,scheme,transpose,33,15,1,1,6,456,375,504,0,1335,446,303390,0.3416,0.0015,10
haiku-1,haiku,scheme,wordfreq,42,17,1,2,5,851,356,498,0,1705,637,468241,0.4991,0.00182,214
haiku-1,haiku,typescript,anagrams,7,2,1,0,1,221,219,34,0,474,221,54921,0.4662,0.00402,0
haiku-1,haiku,typescript,brackets,23,9,1,0,2,213,178,245,0,636,213,190697,0.3349,0.00112,0
haiku-1,haiku,typescript,calc,8,2,1,0,1,469,237,33,0,739,469,62147,0.6346,0.00755,0
haiku-1,haiku,typescript,dijkstra,17,9,1,0,1,551,181,269,0,1001,551,90614,0.5504,0.00608,0
haiku-1,haiku,typescript,lcs,11,3,1,0,2,248,367,97,0,712,248,78619,0.3483,0.00315,0
haiku-1,haiku,typescript,primes,21,10,1,0,1,271,178,247,0,696,271,123713,0.3894,0.00219,0
haiku-1,haiku,typescript,rle,7,2,1,0,1,99,206,3,0,308,99,54120,0.3214,0.00183,0
haiku-1,haiku,typescript,roman,19,9,1,0,2,305,154,239,0,698,305,113083,0.437,0.0027,0
haiku-1,haiku,typescript,transpose,8,2,1,0,1,191,168,33,0,392,191,53005,0.4872,0.0036,0
haiku-1,haiku,typescript,wordfreq,30,12,1,0,9,207,316,146,0,669,207,244595,0.3094,0.00085,0
sonnet-1,sonnet,apl,anagrams,47,25,2,3,18,955,273,1843,0,3071,261,857849,0.311,0.00111,694
sonnet-1,sonnet,apl,brackets,65,37,6,7,23,906,517,1258,0,2681,245,1506718,0.3379,0.0006,661
sonnet-1,sonnet,apl,calc,55,32,5,4,21,2294,471,1527,0,4292,1102,1496433,0.5345,0.00153,1192
sonnet-1,sonnet,apl,dijkstra,43,26,1,5,17,680,132,1960,0,2772,590,903373,0.2453,0.00075,90
sonnet-1,sonnet,apl,lcs,24,12,1,0,9,145,219,697,0,1061,145,360626,0.1367,0.0004,0
sonnet-1,sonnet,apl,primes,18,10,1,1,5,206,103,377,0,686,181,230695,0.3003,0.00089,25
sonnet-1,sonnet,apl,rle,11,5,1,0,4,112,73,240,0,425,112,144292,0.2635,0.00078,0
sonnet-1,sonnet,apl,roman,15,8,1,1,6,465,67,167,0,699,305,248105,0.6652,0.00187,160
sonnet-1,sonnet,apl,transpose,41,20,1,3,11,416,250,633,0,1299,239,596150,0.3202,0.0007,177
sonnet-1,sonnet,apl,wordfreq,43,25,3,2,17,455,152,1904,0,2511,257,953945,0.1812,0.00048,198
sonnet-1,sonnet,bqn,anagrams,24,13,3,1,9,376,136,511,0,1023,109,432558,0.3675,0.00087,267
sonnet-1,sonnet,bqn,brackets,61,36,12,3,20,1593,218,1128,0,2939,216,1565376,0.542,0.00102,1377
sonnet-1,sonnet,bqn,calc,65,40,6,11,22,1295,111,1338,0,2744,717,2070252,0.4719,0.00063,578
sonnet-1,sonnet,bqn,dijkstra,66,40,14,5,19,2332,43,1517,0,3892,468,2292281,0.5992,0.00102,1864
sonnet-1,sonnet,bqn,lcs,24,12,1,1,10,340,116,664,0,1120,283,441784,0.3036,0.00077,57
sonnet-1,sonnet,bqn,primes,74,40,1,7,29,730,36,2134,0,2900,280,1569102,0.2517,0.00047,450
sonnet-1,sonnet,bqn,rle,6,3,1,0,2,128,37,97,0,262,128,98480,0.4885,0.0013,0
sonnet-1,sonnet,bqn,roman,8,4,2,0,2,600,53,66,0,719,301,168874,0.8345,0.00355,299
sonnet-1,sonnet,bqn,transpose,20,10,2,1,4,365,61,272,0,698,176,313524,0.5229,0.00116,189
sonnet-1,sonnet,bqn,wordfreq,27,15,1,3,10,230,106,1142,0,1478,193,610563,0.1556,0.00038,37
sonnet-1,sonnet,c,anagrams,8,3,1,1,1,1000,69,34,0,1103,929,97798,0.9066,0.01023,71
sonnet-1,sonnet,c,brackets,13,6,3,0,2,1002,106,166,0,1274,381,173460,0.7865,0.00578,621
sonnet-1,sonnet,c,calc,4,2,1,0,1,506,47,33,0,586,506,68468,0.8635,0.00739,0
sonnet-1,sonnet,c,dijkstra,8,4,1,2,1,1252,60,33,0,1345,1094,122226,0.9309,0.01024,158
sonnet-1,sonnet,c,lcs,4,2,1,0,1,404,40,34,0,478,404,67983,0.8452,0.00594,0
sonnet-1,sonnet,c,primes,4,2,1,0,1,201,4,34,0,239,201,66669,0.841,0.00301,0
sonnet-1,sonnet,c,rle,4,2,1,0,1,144,6,33,0,183,144,66516,0.7869,0.00216,0
sonnet-1,sonnet,c,roman,4,2,1,0,1,179,6,33,0,218,179,66567,0.8211,0.00269,0
sonnet-1,sonnet,c,transpose,4,2,1,0,1,192,6,33,0,231,192,66656,0.8312,0.00288,0
sonnet-1,sonnet,c,wordfreq,4,2,1,0,1,822,50,34,0,906,822,70214,0.9073,0.01171,0
sonnet-1,sonnet,forth,brackets,23,12,2,1,9,452,226,620,0,1298,396,376041,0.3482,0.0012,56
sonnet-1,sonnet,forth,calc,20,10,1,1,8,582,282,495,0,1359,506,367007,0.4283,0.00159,76
sonnet-1,sonnet,forth,dijkstra,51,26,5,0,20,2866,230,1758,0,4854,883,1163647,0.5904,0.00246,1983
sonnet-1,sonnet,forth,lcs,6,3,1,0,2,425,62,79,0,566,425,127589,0.7509,0.00333,0
sonnet-1,sonnet,forth,primes,10,5,1,0,4,304,68,108,0,480,304,165530,0.6333,0.00184,0
sonnet-1,sonnet,forth,rle,23,12,2,0,9,367,89,519,0,975,171,376202,0.3764,0.00098,196
sonnet-1,sonnet,forth,roman,22,12,2,1,8,904,122,629,0,1655,354,381143,0.5462,0.00237,550
sonnet-1,sonnet,forth,wordfreq,52,26,2,2,22,1174,461,1770,0,3405,984,1199566,0.3448,0.00098,190
sonnet-1,sonnet,go,anagrams,5,2,1,0,1,332,7,34,0,373,332,67716,0.8901,0.0049,0
sonnet-1,sonnet,go,brackets,5,2,1,0,1,233,7,34,0,274,233,67126,0.8504,0.00347,0
sonnet-1,sonnet,go,calc,4,2,1,0,1,538,56,33,0,627,538,69030,0.8581,0.00779,0
sonnet-1,sonnet,go,dijkstra,4,2,1,0,1,566,42,33,0,641,566,68742,0.883,0.00823,0
sonnet-1,sonnet,go,lcs,4,2,1,0,1,242,33,34,0,309,242,67343,0.7832,0.00359,0
sonnet-1,sonnet,go,primes,4,2,1,0,1,187,7,34,0,228,187,66791,0.8202,0.0028,0
sonnet-1,sonnet,go,rle,5,2,1,0,1,167,38,33,0,238,167,66737,0.7017,0.0025,0
sonnet-1,sonnet,go,roman,5,2,1,0,1,251,6,33,0,290,251,67080,0.8655,0.00374,0
sonnet-1,sonnet,go,transpose,3,2,1,0,1,209,19,33,0,261,209,66865,0.8008,0.00313,0
sonnet-1,sonnet,go,wordfreq,3,2,1,0,1,299,6,34,0,339,299,67243,0.882,0.00445,0
sonnet-1,sonnet,haskell,anagrams,4,2,1,0,1,142,6,35,0,183,142,66792,0.776,0.00213,0
sonnet-1,sonnet,haskell,brackets,4,2,1,0,1,169,4,3,0,176,169,66577,0.9602,0.00254,0
sonnet-1,sonnet,haskell,calc,5,2,1,0,1,423,45,3,0,471,423,71352,0.8981,0.00593,0
sonnet-1,sonnet,haskell,dijkstra,6,3,1,0,2,472,58,79,0,609,472,93142,0.775,0.00507,0
sonnet-1,sonnet,haskell,lcs,10,5,2,0,3,682,61,117,0,860,383,143195,0.793,0.00476,299
sonnet-1,sonnet,haskell,primes,8,4,2,0,2,602,83,84,0,769,256,116742,0.7828,0.00516,346
sonnet-1,sonnet,haskell,rle,5,3,1,1,1,91,6,34,0,131,69,89424,0.6947,0.00102,22
sonnet-1,sonnet,haskell,roman,5,2,1,0,1,176,70,34,0,280,176,66894,0.6286,0.00263,0
sonnet-1,sonnet,haskell,transpose,5,2,1,0,1,136,6,34,0,176,136,66865,0.7727,0.00203,0
sonnet-1,sonnet,haskell,wordfreq,4,2,1,0,1,221,6,35,0,262,221,67102,0.8435,0.00329,0
sonnet-1,sonnet,java,anagrams,4,2,1,0,1,261,34,34,0,329,261,68019,0.7933,0.00384,0
sonnet-1,sonnet,java,brackets,3,2,1,0,1,278,7,34,0,319,278,67244,0.8715,0.00413,0
sonnet-1,sonnet,java,calc,5,2,1,0,1,560,67,33,0,660,560,68922,0.8485,0.00813,0
sonnet-1,sonnet,java,dijkstra,4,2,1,0,1,472,39,33,0,544,472,68402,0.8676,0.0069,0
sonnet-1,sonnet,java,lcs,4,2,1,0,1,244,45,34,0,323,244,67162,0.7554,0.00363,0
sonnet-1,sonnet,java,primes,4,2,1,0,1,203,42,34,0,279,203,66840,0.7276,0.00304,0
sonnet-1,sonnet,java,rle,5,2,1,0,1,153,43,33,0,229,153,66711,0.6681,0.00229,0
sonnet-1,sonnet,java,roman,4,2,1,0,1,296,7,33,0,336,296,67236,0.881,0.0044,0
sonnet-1,sonnet,java,transpose,4,2,1,0,1,235,6,33,0,274,235,67033,0.8577,0.00351,0
sonnet-1,sonnet,java,wordfreq,5,2,1,0,1,371,37,34,0,442,371,67903,0.8394,0.00546,0
sonnet-1,sonnet,javascript,anagrams,5,2,1,0,1,152,4,34,0,190,152,66610,0.8,0.00228,0
sonnet-1,sonnet,javascript,brackets,4,2,1,0,1,162,6,34,0,202,162,66592,0.802,0.00243,0
sonnet-1,sonnet,javascript,calc,4,2,1,0,1,447,73,33,0,553,447,68247,0.8083,0.00655,0
sonnet-1,sonnet,javascript,dijkstra,5,2,1,0,1,342,51,33,0,426,342,67735,0.8028,0.00505,0
sonnet-1,sonnet,javascript,lcs,5,2,1,0,1,219,26,34,0,279,219,67040,0.7849,0.00327,0
sonnet-1,sonnet,javascript,primes,4,2,1,0,1,135,42,34,0,211,135,66477,0.6398,0.00203,0
sonnet-1,sonnet,javascript,rle,4,2,1,0,1,91,6,33,0,130,91,66402,0.7,0.00137,0
sonnet-1,sonnet,javascript,roman,6,3,1,1,1,243,6,33,0,282,220,90117,0.8617,0.0027,23
sonnet-1,sonnet,javascript,transpose,4,2,1,0,1,156,6,33,0,195,156,66567,0.8,0.00234,0
sonnet-1,sonnet,javascript,wordfreq,3,2,1,0,1,166,6,34,0,206,166,66554,0.8058,0.00249,0
sonnet-1,sonnet,k,anagrams,56,28,0,0,26,643,178,1684,0,2505,67,828700,0.2567,0.00078,576
