run,model_id,model,lang,problem,passed,cases_passed,cases_total,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,thinking_tokens,total_tokens,num_turns,duration_ms,cost_usd,solution_tokens_o200k,solution_tokens_cl100k,solution_bytes,error,wall_s
haiku-1,claude-haiku-4-5-20251001,haiku,forth,brackets,False,0,5,321,42488,2030021,51743,34389,2124573,41,565534,0.5204871,501,496,1535,,606.0
haiku-1,claude-haiku-4-5-20251001,haiku,forth,calc,False,0,5,321,40436,2106153,55663,31540,2202573,41,491805,0.5257223,82,82,270,,500.4
haiku-1,claude-haiku-4-5-20251001,haiku,forth,dijkstra,False,0,5,321,30722,1312565,39989,10720,1383597,41,526354,0.36646050000000013,507,510,1461,,547.0
haiku-1,claude-haiku-4-5-20251001,haiku,forth,lcs,False,0,5,321,24062,1330907,33838,10064,1389128,41,419177,0.3226377,444,444,1141,,436.1
haiku-1,claude-haiku-4-5-20251001,haiku,forth,primes,False,0,5,321,47331,2164633,65918,40198,2278203,41,1126889,0.5865273000000001,300,300,925,,1140.2
haiku-1,claude-haiku-4-5-20251001,haiku,forth,rle,False,0,5,321,27857,1978016,59512,20232,2065706,41,567264,0.4576996,280,279,772,,679.4
haiku-1,claude-haiku-4-5-20251001,haiku,forth,roman,False,0,5,321,32137,1446260,41089,26169,1519807,41,483606,0.389049,275,261,746,,507.4
haiku-1,claude-haiku-4-5-20251001,haiku,forth,transpose,False,3,5,201,25245,789037,32712,20747,847195,25,374182,0.27198969999999995,322,319,1025,,391.3
haiku-1,claude-haiku-4-5-20251001,haiku,forth,wordfreq,False,0,5,321,20046,1200624,28564,6659,1249555,41,439704,0.2789724,597,590,1838,,458.8
haiku-1,claude-haiku-4-5-20251001,haiku,go,anagrams,True,5,5,49,2867,103352,6881,1397,113149,11,35594,0.039741200000000004,255,248,929,,40.7
haiku-1,claude-haiku-4-5-20251001,haiku,go,brackets,True,5,5,25,1671,46894,5263,845,53853,3,21461,0.0248234,260,260,835,,26.1
haiku-1,claude-haiku-4-5-20251001,haiku,go,calc,True,5,5,41,5343,91466,9477,3385,106327,10,55194,0.0561266,700,704,2446,,60.8
haiku-1,claude-haiku-4-5-20251001,haiku,go,dijkstra,True,5,5,105,4242,241905,8726,1665,254978,13,56519,0.0642525,760,755,2403,,63.0
haiku-1,claude-haiku-4-5-20251001,haiku,go,lcs,True,5,5,41,2353,82895,6189,856,91478,10,27151,0.033703500000000004,327,324,860,,36.3
haiku-1,claude-haiku-4-5-20251001,haiku,go,primes,True,5,5,49,2212,100183,6078,697,108522,11,33392,0.0345263,338,336,987,,41.9
haiku-1,claude-haiku-4-5-20251001,haiku,go,rle,True,5,5,25,2690,47902,6273,2068,56890,3,36063,0.0320552,137,135,455,,45.3
haiku-1,claude-haiku-4-5-20251001,haiku,go,roman,True,5,5,25,1777,47016,5413,1096,54231,3,28123,0.0256716,221,218,600,,37.5
haiku-1,claude-haiku-4-5-20251001,haiku,go,transpose,True,5,5,33,2177,65556,5819,1315,73585,4,36745,0.0303426,245,243,729,,48.6
haiku-1,claude-haiku-4-5-20251001,haiku,go,wordfreq,True,5,5,49,3243,102077,7168,1548,112537,11,48439,0.0420287,462,463,1551,,60.8
haiku-1,claude-haiku-4-5-20251001,haiku,haskell,anagrams,True,5,5,41,3796,88516,7454,2863,99807,5,48348,0.0440586,181,176,710,,59.3
haiku-1,claude-haiku-4-5-20251001,haiku,haskell,brackets,True,5,5,49,5908,114722,9419,4846,130098,6,69771,0.061170199999999994,182,185,626,,78.9
haiku-1,claude-haiku-4-5-20251001,haiku,haskell,calc,True,5,5,89,8079,244090,12331,5984,264589,11,95465,0.090868,584,582,2167,,102.1
haiku-1,claude-haiku-4-5-20251001,haiku,haskell,dijkstra,True,5,5,97,8094,267466,12483,5831,288140,12,97507,0.09360759999999999,615,617,2237,,110.6
haiku-1,claude-haiku-4-5-20251001,haiku,haskell,lcs,True,5,5,25,3429,48509,6909,2627,58872,3,42261,0.0370869,207,207,527,,55.0
haiku-1,claude-haiku-4-5-20251001,haiku,haskell,primes,True,5,5,41,2346,82054,6349,1230,90790,10,49975,0.033935400000000004,109,107,288,,62.9
haiku-1,claude-haiku-4-5-20251001,haiku,haskell,rle,True,5,5,25,1206,46504,4870,740,52605,3,36247,0.0217074,67,67,246,,49.9
haiku-1,claude-haiku-4-5-20251001,haiku,haskell,roman,True,5,5,121,5130,277506,10939,3073,293696,15,77172,0.0766716,202,201,607,,88.7
haiku-1,claude-haiku-4-5-20251001,haiku,haskell,transpose,True,5,5,33,1701,64586,5307,1072,71627,4,31660,0.0268796,109,107,358,,40.1
haiku-1,claude-haiku-4-5-20251001,haiku,haskell,wordfreq,True,5,5,121,6778,314425,11405,4642,332729,15,80973,0.0895325,287,282,1003,,90.0
haiku-1,claude-haiku-4-5-20251001,haiku,java,anagrams,True,5,5,41,3073,83659,6952,1802,93725,10,34103,0.0389409,277,266,1344,,39.4
haiku-1,claude-haiku-4-5-20251001,haiku,java,brackets,True,5,5,25,1734,46898,5298,890,53955,3,21818,0.0252188,259,255,1280,,26.7
haiku-1,claude-haiku-4-5-20251001,haiku,java,calc,True,5,5,49,4176,104057,8032,2274,116314,13,47030,0.0486687,483,474,2640,,52.8
haiku-1,claude-haiku-4-5-20251001,haiku,java,dijkstra,True,5,5,49,3160,102238,7216,1274,112663,11,33395,0.0418048,495,485,2049,,38.7
haiku-1,claude-haiku-4-5-20251001,haiku,java,lcs,True,5,5,41,2791,83370,6448,1336,92650,10,31268,0.036459000000000005,280,274,1002,,36.1
haiku-1,claude-haiku-4-5-20251001,haiku,java,primes,True,5,5,57,2678,121836,6858,1099,131429,12,34280,0.0405896,242,238,999,,39.6
haiku-1,claude-haiku-4-5-20251001,haiku,java,rle,True,5,5,49,1940,100001,5950,804,107940,10,25445,0.0328931,179,171,865,,31.0
haiku-1,claude-haiku-4-5-20251001,haiku,java,roman,True,5,5,89,2867,193851,7081,1285,203888,11,38020,0.049205099999999995,254,248,979,,46.4
haiku-1,claude-haiku-4-5-20251001,haiku,java,transpose,True,5,5,41,2145,83491,6416,921,92093,10,23171,0.033168100000000006,182,179,700,,32.6
haiku-1,claude-haiku-4-5-20251001,haiku,java,wordfreq,True,5,5,129,5557,332012,11781,2953,349479,22,76228,0.08589820000000001,433,407,2119,,87.4
haiku-1,claude-haiku-4-5-20251001,haiku,javascript,anagrams,True,5,5,25,1552,46845,5193,847,53615,3,17745,0.024108499999999998,196,194,782,,21.6
haiku-1,claude-haiku-4-5-20251001,haiku,javascript,brackets,True,5,5,41,3094,84272,7002,1718,94409,10,32990,0.0391582,214,214,772,,36.5
haiku-1,claude-haiku-4-5-20251001,haiku,javascript,calc,True,5,5,41,4288,88621,8341,2657,101291,10,42098,0.0482831,533,532,2196,,45.7
haiku-1,claude-haiku-4-5-20251001,haiku,javascript,dijkstra,True,5,5,81,3470,179136,7665,1796,190352,10,32274,0.051947600000000003,483,483,1684,,36.1
haiku-1,claude-haiku-4-5-20251001,haiku,javascript,lcs,True,5,5,41,2662,84155,6601,1203,93459,10,28431,0.0361865,328,326,995,,32.2
haiku-1,claude-haiku-4-5-20251001,haiku,javascript,primes,True,5,5,33,1952,64579,5431,946,71995,4,21933,0.028343900000000005,248,247,775,,25.9
haiku-1,claude-haiku-4-5-20251001,haiku,javascript,rle,True,5,5,33,1516,64139,5274,660,70962,4,18905,0.025806899999999997,159,159,602,,22.5
haiku-1,claude-haiku-4-5-20251001,haiku,javascript,roman,True,5,5,129,4078,293535,8590,2275,306332,16,39776,0.0682745,215,212,634,,43.4
haiku-1,claude-haiku-4-5-20251001,haiku,javascript,transpose,True,5,5,25,1225,46482,4870,641,52602,3,15098,0.021747199999999998,233,231,791,,18.8
haiku-1,claude-haiku-4-5-20251001,haiku,javascript,wordfreq,True,5,5,25,1481,46732,5155,742,53393,3,17685,0.0236272,252,247,903,,21.4
haiku-1,claude-haiku-4-5-20251001,haiku,k,anagrams,False,0,5,321,17236,1143809,27494,10134,1188860,41,282794,0.25714190000000003,11,11,20,,292.4
haiku-1,claude-haiku-4-5-20251001,haiku,k,brackets,False,0,5,321,17364,1181066,27582,9294,1226333,41,386571,0.2616516,132,128,245,,401.2
haiku-1,claude-haiku-4-5-20251001,haiku,k,calc,False,0,5,321,18712,1189352,28245,8399,1236630,41,226631,0.2705742000000001,197,195,460,,234.1
haiku-1,claude-haiku-4-5-20251001,haiku,k,dijkstra,False,0,5,321,16791,1224929,27372,11687,1269413,41,223237,0.26280990000000004,397,400,1061,,233.3
haiku-1,claude-haiku-4-5-20251001,haiku,k,lcs,False,0,5,321,20256,1187585,29210,13264,1237372,41,505130,0.28000749999999985,66,66,161,,520.4
haiku-1,claude-haiku-4-5-20251001,haiku,k,primes,False,1,5,321,22149,1386958,30377,13531,1439805,41,509374,0.3117568,13,13,24,,520.8
haiku-1,claude-haiku-4-5-20251001,haiku,k,rle,False,0,5,321,21650,1387769,30267,16046,1440007,41,523591,0.3091239,8,8,11,,553.5
haiku-1,claude-haiku-4-5-20251001,haiku,k,roman,False,0,5,321,13933,1139318,22845,8691,1176417,41,371524,0.2308348,147,147,334,,391.2
haiku-1,claude-haiku-4-5-20251001,haiku,k,transpose,False,0,5,321,19026,1306516,29390,14034,1355253,41,418228,0.2861016,83,83,192,,432.3
haiku-1,claude-haiku-4-5-20251001,haiku,k,wordfreq,False,0,5,321,18229,1207700,28852,11165,1255102,41,463810,0.27117800000000003,81,81,257,,470.0
haiku-1,claude-haiku-4-5-20251001,haiku,lisp,anagrams,True,5,5,49,11549,136483,15340,10142,163421,9,76030,0.1033883,271,271,1070,,85.2
haiku-1,claude-haiku-4-5-20251001,haiku,lisp,brackets,True,5,5,25,3632,48782,7186,2896,59625,3,36608,0.0386642,243,246,906,,42.4
haiku-1,claude-haiku-4-5-20251001,haiku,lisp,calc,True,5,5,129,4947,307877,11837,1248,324790,16,70816,0.0806217,788,787,3313,,81.0
haiku-1,claude-haiku-4-5-20251001,haiku,lisp,dijkstra,True,5,5,73,4345,166460,8304,2553,179182,9,70160,0.056362999999999996,458,455,1782,,82.7
haiku-1,claude-haiku-4-5-20251001,haiku,lisp,lcs,True,5,5,25,2508,47500,5874,1752,55907,3,46806,0.030294,225,225,592,,70.7
haiku-1,claude-haiku-4-5-20251001,haiku,lisp,primes,True,5,5,41,4127,88524,8026,2848,100718,10,68781,0.0468244,203,205,617,,85.2
haiku-1,claude-haiku-4-5-20251001,haiku,lisp,rle,True,5,5,25,5059,50251,8647,4508,63982,3,53821,0.0489091,112,112,394,,69.7
haiku-1,claude-haiku-4-5-20251001,haiku,lisp,roman,True,5,5,121,7790,327726,15183,4873,350820,19,128672,0.10343959999999999,218,216,683,,146.6
haiku-1,claude-haiku-4-5-20251001,haiku,lisp,transpose,True,5,5,49,5567,115655,9724,4421,130995,10,76642,0.0601395,156,152,583,,93.2
haiku-1,claude-haiku-4-5-20251001,haiku,lisp,wordfreq,True,5,5,97,6618,246732,10876,4627,264323,12,83837,0.0808592,534,535,2132,,97.5
haiku-1,claude-haiku-4-5-20251001,haiku,perl,anagrams,True,5,5,25,1923,47089,5441,1172,54478,3,20791,0.0264909,183,179,662,,26.7
haiku-1,claude-haiku-4-5-20251001,haiku,perl,brackets,True,5,5,25,2115,47332,5734,1372,55206,3,20182,0.0280192,233,231,899,,26.1
haiku-1,claude-haiku-4-5-20251001,haiku,perl,calc,True,5,5,73,3859,157213,8308,2457,169453,9,45463,0.0529803,348,345,1218,,53.9
haiku-1,claude-haiku-4-5-20251001,haiku,perl,dijkstra,True,5,5,57,3426,125184,7680,1610,136347,12,40471,0.046355400000000005,449,446,1193,,48.3
haiku-1,claude-haiku-4-5-20251001,haiku,perl,lcs,True,5,5,73,2766,154595,7030,920,164464,14,38772,0.0446425,258,257,577,,48.4
haiku-1,claude-haiku-4-5-20251001,haiku,perl,primes,True,5,5,97,4716,225057,9439,2467,239309,12,62879,0.0662937,211,209,516,,71.8
haiku-1,claude-haiku-4-5-20251001,haiku,perl,rle,True,5,5,25,2350,47524,5893,1725,55792,3,32364,0.0295624,161,160,563,,41.6
haiku-1,claude-haiku-4-5-20251001,haiku,perl,roman,True,5,5,25,1566,46762,5180,941,53533,3,24663,0.024115199999999996,202,201,567,,33.9
haiku-1,claude-haiku-4-5-20251001,haiku,perl,transpose,True,5,5,25,2242,47422,5830,1696,55519,3,26600,0.028863200000000002,130,127,335,,31.9
haiku-1,claude-haiku-4-5-20251001,haiku,perl,wordfreq,True,5,5,41,2178,81690,6120,1061,90029,10,28537,0.032561,137,134,475,,34.2
haiku-1,claude-haiku-4-5-20251001,haiku,prolog,anagrams,False,4,5,25,9450,54656,13024,8213,77155,3,85094,0.08007059999999999,536,536,2135,,89.6
haiku-1,claude-haiku-4-5-20251001,haiku,prolog,brackets,True,5,5,33,4122,69106,7649,3117,80910,4,42611,0.0441016,203,205,664,,46.8
haiku-1,claude-haiku-4-5-20251001,haiku,prolog,calc,True,5,5,49,15296,150717,19121,12833,185183,11,138500,0.1311347,811,816,2680,,143.4
haiku-1,claude-haiku-4-5-20251001,haiku,prolog,dijkstra,False,3,5,97,14337,325464,19111,11390,359009,12,136368,0.14385740000000002,770,794,2212,,144.3
haiku-1,claude-haiku-4-5-20251001,haiku,prolog,lcs,True,5,5,81,12993,257488,17319,10770,287881,14,123726,0.1266648,329,328,874,,129.1
haiku-1,claude-haiku-4-5-20251001,haiku,prolog,primes,True,5,5,169,11616,524793,18881,7442,555459,26,138323,0.14973530000000004,259,259,735,,144.2
haiku-1,claude-haiku-4-5-20251001,haiku,prolog,rle,True,5,5,65,8166,170752,12125,6491,191108,8,76763,0.08348620000000001,208,209,768,,85.8
haiku-1,claude-haiku-4-5-20251001,haiku,prolog,roman,True,5,5,105,7879,282608,12536,5920,303128,13,108511,0.0940838,371,371,1272,,120.1
haiku-1,claude-haiku-4-5-20251001,haiku,prolog,transpose,True,5,5,105,7512,277274,12672,4171,297563,16,82394,0.09197940000000002,278,280,945,,90.4
haiku-1,claude-haiku-4-5-20251001,haiku,prolog,wordfreq,True,5,5,145,10128,392852,17547,6062,420672,24,117130,0.12640719999999997,503,508,1874,,126.3
haiku-1,claude-haiku-4-5-20251001,haiku,python,anagrams,True,5,5,41,3116,84897,6989,1823,95043,10,36716,0.0393387,158,158,677,,41.7
haiku-1,claude-haiku-4-5-20251001,haiku,python,brackets,True,5,5,25,1809,46935,5330,1141,54099,3,19821,0.025656500000000002,124,124,499,,25.2
haiku-1,claude-haiku-4-5-20251001,haiku,python,calc,True,5,5,49,4913,111178,8891,3134,125031,11,51327,0.05477380000000001,383,382,1794,,56.3
haiku-1,claude-haiku-4-5-20251001,haiku,python,dijkstra,True,5,5,25,2159,47368,5727,1357,55279,3,22432,0.0282908,275,273,922,,27.5
haiku-1,claude-haiku-4-5-20251001,haiku,python,lcs,True,5,5,49,2139,100250,5838,1046,108276,6,25183,0.033665,216,215,632,,29.0
haiku-1,claude-haiku-4-5-20251001,haiku,python,primes,True,5,5,41,2102,82424,5945,863,90512,10,22726,0.0319164,203,203,675,,26.2
haiku-1,claude-haiku-4-5-20251001,haiku,python,rle,True,5,5,33,1608,64361,5248,966,71250,4,17567,0.0262391,33,33,140,,21.1
haiku-1,claude-haiku-4-5-20251001,haiku,python,roman,True,5,5,25,1976,47217,5604,1323,54822,3,20782,0.027053700000000003,170,170,578,,24.2
haiku-1,claude-haiku-4-5-20251001,haiku,python,transpose,True,5,5,25,1181,46340,4749,694,52295,3,15047,0.021278000000000002,74,74,273,,18.7
haiku-1,claude-haiku-4-5-20251001,haiku,python,wordfreq,True,5,5,81,2403,171288,6378,1245,180150,10,30875,0.043191799999999995,120,119,471,,34.6
haiku-1,claude-haiku-4-5-20251001,haiku,ruby,anagrams,True,5,5,25,1991,47120,5496,1418,54632,3,25287,0.026932,88,87,338,,30.9
haiku-1,claude-haiku-4-5-20251001,haiku,ruby,brackets,True,5,5,41,2563,83684,6353,1342,92641,10,29072,0.0351464,167,166,639,,35.4
haiku-1,claude-haiku-4-5-20251001,haiku,ruby,calc,True,5,5,113,5151,258622,9960,2919,273846,14,60544,0.0729082,664,664,2242,,69.4
haiku-1,claude-haiku-4-5-20251001,haiku,ruby,dijkstra,True,5,5,81,5962,203809,10623,3839,220475,15,83448,0.0728009,355,355,1098,,89.3
haiku-1,claude-haiku-4-5-20251001,haiku,ruby,lcs,True,5,5,41,2079,83683,5848,1241,91651,5,33126,0.0317183,169,169,386,,42.5
haiku-1,claude-haiku-4-5-20251001,haiku,ruby,primes,True,5,5,89,2222,188309,6444,924,197064,11,38155,0.044148900000000005,137,137,357,,49.3
haiku-1,claude-haiku-4-5-20251001,haiku,ruby,rle,True,5,5,81,2668,176328,6892,1511,185969,10,40696,0.046079800000000004,41,40,123,,52.3
haiku-1,claude-haiku-4-5-20251001,haiku,ruby,roman,True,5,5,41,3311,84428,7091,2076,94871,10,36961,0.040437799999999996,201,201,546,,44.6
haiku-1,claude-haiku-4-5-20251001,haiku,ruby,transpose,True,5,5,25,1009,46251,4653,547,51938,3,17854,0.0202151,65,65,221,,27.9
haiku-1,claude-haiku-4-5-20251001,haiku,ruby,wordfreq,True,5,5,25,1033,46293,4683,459,52034,3,19859,0.0203993,129,128,462,,29.8
haiku-1,claude-haiku-4-5-20251001,haiku,rust,anagrams,True,5,5,25,3531,48623,6982,2669,59161,3,58449,0.03777030000000001,264,263,1114,,68.2
haiku-1,claude-haiku-4-5-20251001,haiku,rust,brackets,True,5,5,25,1838,46977,5356,1101,54196,3,48721,0.025856700000000003,223,221,1064,,59.2
haiku-1,claude-haiku-4-5-20251001,haiku,rust,calc,True,5,5,81,4646,178452,8786,2431,191965,10,97774,0.06001719999999999,830,822,4122,,108.6
haiku-1,claude-haiku-4-5-20251001,haiku,rust,dijkstra,True,5,5,81,3922,179249,7888,1947,191140,10,83462,0.054695900000000006,640,638,2491,,93.6
haiku-1,claude-haiku-4-5-20251001,haiku,rust,lcs,True,5,5,41,3644,86042,7416,2167,97143,10,78305,0.0429312,322,320,1019,,85.3
haiku-1,claude-haiku-4-5-20251001,haiku,rust,primes,True,5,5,57,2239,117626,5917,1097,125839,7,45476,0.0360956,232,231,779,,54.6
haiku-1,claude-haiku-4-5-20251001,haiku,rust,rle,True,5,5,49,2868,103978,7363,1619,114258,11,43479,0.0407608,151,150,646,,49.2
haiku-1,claude-haiku-4-5-20251001,haiku,rust,roman,True,5,5,25,1585,46739,5116,841,53465,3,33555,0.0240889,232,232,814,,40.9
haiku-1,claude-haiku-4-5-20251001,haiku,rust,transpose,True,5,5,41,2699,84204,6876,1530,93820,10,38495,0.0369334,230,228,861,,44.3
haiku-1,claude-haiku-4-5-20251001,haiku,rust,wordfreq,True,5,5,49,3184,103079,7122,1912,113434,8,41995,0.041760900000000004,291,289,1144,,47.0
haiku-1,claude-haiku-4-5-20251001,haiku,scheme,anagrams,True,5,5,57,7062,145560,11492,5480,164171,7,85086,0.07418199999999998,409,397,1655,,101.0
haiku-1,claude-haiku-4-5-20251001,haiku,scheme,brackets,True,5,5,49,4912,113429,9196,3605,127586,6,63515,0.055581900000000004,334,331,1282,,76.2
haiku-1,claude-haiku-4-5-20251001,haiku,scheme,calc,True,5,5,145,6278,357265,11561,1907,375249,18,110842,0.0916535,902,892,3578,,121.5
haiku-1,claude-haiku-4-5-20251001,haiku,scheme,dijkstra,True,5,5,105,7087,255699,11779,4247,274670,13,81953,0.08596789999999999,659,658,2773,,89.0
haiku-1,claude-haiku-4-5-20251001,haiku,scheme,lcs,True,5,5,81,5879,199831,10995,2811,216786,15,67014,0.0726791,339,337,1147,,75.3
haiku-1,claude-haiku-4-5-20251001,haiku,scheme,primes,True,5,5,49,5373,114412,9052,4247,128886,6,55592,0.057702199999999995,317,315,1177,,61.4
haiku-1,claude-haiku-4-5-20251001,haiku,scheme,rle,True,5,5,65,5673,161137,10993,4261,177868,8,49406,0.06778870000000001,158,153,714,,55.3
haiku-1,claude-haiku-4-5-20251001,haiku,scheme,roman,True,5,5,129,4908,320972,10843,2883,336852,16,61077,0.07968120000000002,238,232,743,,65.6
haiku-1,claude-haiku-4-5-20251001,haiku,scheme,transpose,True,5,5,97,9133,279699,14461,6720,303390,16,93981,0.10388990000000001,446,433,1609,,99.0
haiku-1,claude-haiku-4-5-20251001,haiku,scheme,wordfreq,False,4,5,145,10512,439576,18008,7156,468241,18,109012,0.13389959999999998,637,630,2522,,113.6
haiku-1,claude-haiku-4-5-20251001,haiku,typescript,anagrams,True,5,5,25,1987,47268,5641,1247,54921,3,18570,0.027220799999999996,221,224,846,,22.4
haiku-1,claude-haiku-4-5-20251001,haiku,typescript,brackets,True,5,5,81,3149,180001,7466,1903,190697,10,36601,0.0499781,213,213,807,,40.0
haiku-1,claude-haiku-4-5-20251001,haiku,typescript,calc,True,5,5,25,4474,49642,8006,3372,62147,3,40832,0.0446332,469,467,1894,,44.0
haiku-1,claude-haiku-4-5-20251001,haiku,typescript,dijkstra,True,5,5,41,2222,82079,6272,621,90614,10,24614,0.0331799,551,550,1841,,28.0
haiku-1,claude-haiku-4-5-20251001,haiku,typescript,lcs,True,5,5,33,3559,67917,7110,2503,78619,4,36216,0.0400617,248,247,611,,39.7
haiku-1,claude-haiku-4-5-20251001,haiku,typescript,primes,True,5,5,57,1922,115842,5892,608,123713,11,23273,0.0342702,271,272,855,,26.9
haiku-1,claude-haiku-4-5-20251001,haiku,typescript,rle,True,5,5,25,1812,46961,5322,1252,54120,3,20960,0.025661100000000006,99,97,327,,24.7
haiku-1,claude-haiku-4-5-20251001,haiku,typescript,roman,True,5,5,49,2761,103259,7014,1461,113083,10,30527,0.0394339,305,302,886,,34.7
haiku-1,claude-haiku-4-5-20251001,haiku,typescript,transpose,True,5,5,25,1365,46603,5012,729,53005,3,16614,0.022752300000000003,191,190,630,,21.1
haiku-1,claude-haiku-4-5-20251001,haiku,typescript,wordfreq,True,5,5,105,3168,233589,7733,1488,244595,13,42156,0.0559829,207,205,693,,47.0
sonnet-1,claude-sonnet-5,sonnet,apl,anagrams,True,5,5,52,15136,819245,23416,8993,857849,26,480564,0.410259,261,263,643,,507.8
sonnet-1,claude-sonnet-5,sonnet,apl,brackets,True,5,5,66,20554,1090742,31979,11884,1143341,33,550943,0.5529953999999999,247,249,671,,570.2
sonnet-1,claude-sonnet-5,sonnet,apl,calc,False,0,5,80,26534,1718070,39905,16131,1784589,41,580511,0.7700350000000002,198,205,442,,620.9
