model,lang,problem,ok,turns,calls,orient,probe,write,test,lookup,other,test_fail,probe_err,first_test,calls_before_first_test,writes_before_first_test
fable,go,wordfreq,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,haskell,anagrams,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,haskell,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,haskell,calc,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,haskell,dijkstra,True,4,3,0,0,1,1,0,1,0,0,pass,2,1
fable,haskell,lcs,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,haskell,primes,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,haskell,rle,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,haskell,roman,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,haskell,transpose,True,8,7,4,0,1,1,1,0,1,0,fail,1,1
fable,haskell,wordfreq,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,java,anagrams,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,java,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,java,calc,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,java,dijkstra,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,java,lcs,True,8,7,3,1,1,1,0,1,1,0,fail,1,1
fable,java,primes,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,java,rle,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,java,roman,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,java,transpose,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,java,wordfreq,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,javascript,anagrams,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,javascript,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,javascript,calc,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,javascript,dijkstra,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,javascript,lcs,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,javascript,primes,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,javascript,rle,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,javascript,roman,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,javascript,transpose,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,javascript,wordfreq,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,k,anagrams,True,6,5,0,2,0,2,1,0,1,0,fail,0,0
fable,k,brackets,True,12,11,0,5,2,3,1,0,2,3,fail,0,0
fable,k,calc,True,23,22,1,10,5,5,1,0,2,6,fail,0,0
fable,k,dijkstra,True,13,12,0,8,1,2,1,0,1,5,fail,0,0
fable,k,lcs,True,10,9,0,5,1,2,0,1,1,1,fail,0,0
fable,k,primes,True,6,5,0,1,0,3,1,0,2,0,fail,0,0
fable,k,rle,True,10,9,0,4,2,2,1,0,1,0,fail,0,0
fable,k,roman,True,10,9,0,6,0,3,0,0,2,4,fail,0,0
fable,k,transpose,True,6,5,0,1,0,3,1,0,2,0,fail,0,0
fable,k,wordfreq,True,24,23,0,12,4,5,2,0,2,3,fail,0,0
fable,lisp,anagrams,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,lisp,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,lisp,calc,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,lisp,dijkstra,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,lisp,lcs,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,lisp,primes,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,lisp,rle,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,lisp,roman,True,7,6,3,0,1,1,0,1,1,0,fail,1,1
fable,lisp,transpose,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,lisp,wordfreq,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,perl,anagrams,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,perl,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,perl,calc,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,perl,dijkstra,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,perl,lcs,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,perl,primes,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,perl,rle,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,perl,roman,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,perl,transpose,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,perl,wordfreq,True,10,9,2,0,1,1,1,4,1,0,fail,1,1
fable,prolog,anagrams,True,4,3,0,0,2,1,0,0,0,0,pass,2,2
fable,prolog,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,prolog,calc,True,4,3,0,1,1,1,0,0,0,0,pass,2,1
fable,prolog,dijkstra,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,prolog,lcs,True,5,4,0,1,2,1,0,0,0,0,pass,2,2
fable,prolog,primes,True,5,4,0,1,2,1,0,0,0,0,pass,2,2
fable,prolog,rle,True,4,3,0,0,2,1,0,0,0,0,pass,2,2
fable,prolog,roman,True,11,10,5,1,2,2,0,0,1,0,fail,2,2
fable,prolog,transpose,True,4,3,0,0,2,1,0,0,0,0,pass,2,2
fable,prolog,wordfreq,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,python,anagrams,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,python,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,python,calc,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,python,dijkstra,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,python,lcs,True,16,15,2,3,2,3,0,5,1,1,pass,1,1
fable,python,primes,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,python,rle,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,python,roman,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,python,transpose,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,python,wordfreq,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,ruby,anagrams,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,ruby,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,ruby,calc,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,ruby,dijkstra,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,ruby,lcs,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,ruby,primes,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,ruby,rle,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,ruby,roman,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,ruby,transpose,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,ruby,wordfreq,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,rust,anagrams,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,rust,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,rust,calc,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,rust,dijkstra,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,rust,lcs,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,rust,primes,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,rust,rle,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,rust,roman,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,rust,transpose,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,rust,wordfreq,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,scheme,anagrams,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,scheme,brackets,True,5,4,0,0,2,2,0,0,1,0,fail,1,1
fable,scheme,calc,True,5,4,0,0,2,2,0,0,1,0,fail,1,1
fable,scheme,dijkstra,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,scheme,lcs,True,7,6,0,2,2,2,0,0,1,1,fail,1,1
fable,scheme,primes,True,4,3,0,1,1,1,0,0,0,1,pass,1,1
fable,scheme,rle,True,26,25,9,7,2,1,1,5,0,5,pass,1,1
fable,scheme,roman,True,5,4,0,0,2,2,0,0,1,0,fail,1,1
fable,scheme,transpose,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,scheme,wordfreq,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,typescript,anagrams,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,typescript,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,typescript,calc,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,typescript,dijkstra,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,typescript,lcs,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,typescript,primes,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,typescript,rle,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,typescript,roman,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,typescript,transpose,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,typescript,wordfreq,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,uiua,anagrams,True,9,8,0,0,3,4,1,0,2,0,fail,0,0
fable,uiua,brackets,True,12,11,0,3,3,4,1,0,3,2,fail,0,0
fable,uiua,calc,True,12,11,0,2,4,4,1,0,3,0,fail,0,0
fable,uiua,dijkstra,True,13,12,0,4,3,4,1,0,3,2,fail,0,0
fable,uiua,lcs,True,7,6,0,2,1,2,1,0,1,1,fail,0,0
fable,uiua,primes,True,11,10,0,3,4,3,0,0,2,1,fail,0,0
fable,uiua,rle,True,8,7,0,0,3,4,0,0,2,0,fail,0,0
fable,uiua,roman,True,5,4,0,0,1,3,0,0,2,0,fail,0,0
fable,uiua,transpose,True,5,4,0,0,2,2,0,0,1,0,fail,1,1
fable,uiua,wordfreq,True,7,6,0,0,2,3,1,0,2,0,fail,0,0
fable,zig,anagrams,True,6,5,0,1,1,2,1,0,1,1,fail,1,0
fable,zig,brackets,True,5,4,0,1,1,2,0,0,1,0,fail,1,0
fable,zig,calc,True,7,6,1,3,1,1,0,0,0,1,pass,4,1
fable,zig,dijkstra,True,7,6,0,1,2,3,0,0,2,1,fail,1,0
fable,zig,lcs,True,7,6,0,3,1,2,0,0,1,2,fail,1,0
fable,zig,primes,True,8,7,0,1,3,3,0,0,2,1,fail,1,1
fable,zig,rle,True,7,6,0,1,2,3,0,0,2,0,fail,1,1
fable,zig,roman,True,15,14,1,3,4,4,0,2,3,2,fail,1,1
fable,zig,transpose,True,4,3,0,0,1,2,0,0,1,0,fail,0,0
fable,zig,wordfreq,True,5,4,0,2,1,1,0,0,0,1,pass,3,1
haiku,gleam,anagrams,True,17,16,1,8,4,3,0,0,2,1,fail,1,1
haiku,gleam,brackets,True,22,21,11,2,4,3,0,1,2,0,fail,8,1
haiku,gleam,calc,True,34,33,8,5,12,8,0,0,5,2,fail,10,1
haiku,gleam,lcs,False,35,34,10,2,10,8,0,4,7,0,fail,8,1
haiku,gleam,primes,True,29,28,8,3,8,8,0,1,6,0,fail,9,1
haiku,gleam,rle,True,16,15,4,1,5,5,0,0,4,0,fail,5,1
haiku,gleam,roman,False,41,46,12,13,14,5,0,2,5,3,fail,11,1
haiku,gleam,transpose,True,37,36,7,8,14,7,0,0,6,3,fail,1,1
haiku,gleam,wordfreq,False,41,45,11,13,8,12,0,1,12,2,fail,8,1
opus,gleam,anagrams,True,5,4,0,0,1,2,1,0,1,0,fail,0,0
opus,gleam,brackets,True,5,4,0,1,1,2,0,0,1,1,fail,1,0
opus,gleam,calc,True,4,3,0,1,1,1,0,0,0,1,pass,2,1
opus,gleam,dijkstra,True,14,13,0,3,6,3,0,1,2,1,fail,2,1
opus,gleam,lcs,True,4,3,0,1,1,1,0,0,0,0,pass,2,1
opus,gleam,primes,True,4,3,0,1,1,1,0,0,0,1,pass,2,1
opus,gleam,rle,True,5,4,0,0,1,2,0,1,2,0,fail,0,0
opus,gleam,roman,True,9,8,0,2,2,2,0,2,1,0,fail,2,1
opus,gleam,transpose,True,4,3,0,0,1,2,0,0,1,0,fail,0,0
opus,gleam,wordfreq,True,6,5,0,1,1,3,0,0,2,1,fail,1,0
sonnet,gleam,anagrams,True,10,9,1,0,2,2,4,0,1,0,fail,0,0
sonnet,gleam,brackets,True,15,14,0,3,2,3,6,0,2,0,fail,1,0
sonnet,gleam,calc,True,25,24,2,3,2,3,14,0,2,0,fail,1,0
sonnet,gleam,dijkstra,True,22,21,0,5,2,2,12,0,1,1,fail,1,0
sonnet,gleam,lcs,True,23,22,1,11,3,4,2,1,1,4,fail,0,0
sonnet,gleam,primes,True,7,6,1,2,1,2,0,0,1,1,fail,1,0
sonnet,gleam,rle,True,18,17,1,10,2,3,1,0,2,1,fail,2,0
sonnet,gleam,roman,True,16,15,0,6,2,3,3,1,2,3,fail,0,0
sonnet,gleam,transpose,True,19,18,3,7,4,4,0,0,3,0,fail,1,0
sonnet,gleam,wordfreq,True,15,14,1,1,1,2,8,1,1,0,fail,1,0
haiku,apl,anagrams,False,41,40,5,2,17,14,0,2,14,1,fail,1,1
haiku,apl,brackets,False,41,40,12,0,14,8,0,6,8,0,fail,17,1
haiku,apl,calc,False,41,40,7,15,16,1,0,1,1,12,fail,8,1
haiku,apl,dijkstra,False,41,45,8,21,9,6,0,1,6,7,fail,8,1
haiku,apl,lcs,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,apl,primes,False,41,45,9,13,16,6,0,1,6,9,fail,9,1
haiku,apl,rle,True,38,37,3,17,9,7,0,1,6,4,fail,1,1
haiku,apl,roman,False,41,40,4,17,17,2,0,0,2,6,fail,1,1
haiku,apl,transpose,False,41,40,3,4,20,13,0,0,13,4,fail,1,1
haiku,apl,wordfreq,False,41,45,10,15,17,1,0,2,1,10,fail,9,1
haiku,bqn,anagrams,False,41,40,9,17,8,2,2,2,2,11,fail,10,1
haiku,bqn,brackets,False,41,40,9,6,14,11,0,0,11,6,fail,10,1
haiku,bqn,calc,False,41,40,8,1,22,9,0,0,9,1,fail,6,1
haiku,bqn,dijkstra,False,41,40,10,17,7,6,0,0,6,14,fail,9,1
haiku,bqn,lcs,False,41,40,8,11,19,1,0,1,1,9,fail,8,1
haiku,bqn,primes,False,41,40,10,23,1,3,0,3,3,12,fail,8,1
haiku,bqn,rle,False,41,40,0,1,20,19,0,0,19,1,fail,1,1
haiku,bqn,roman,False,41,40,8,1,16,13,0,2,13,1,fail,9,1
haiku,bqn,transpose,False,41,40,9,11,14,2,0,4,2,8,fail,12,1
haiku,bqn,wordfreq,False,41,40,8,11,17,3,0,1,3,8,fail,1,1
haiku,c,anagrams,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,c,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,c,calc,True,11,10,7,1,1,1,0,0,0,0,pass,8,1
haiku,c,dijkstra,True,10,9,6,0,1,1,0,1,0,0,pass,8,1
haiku,c,lcs,True,11,10,7,1,1,1,0,0,0,0,pass,8,1
haiku,c,primes,True,12,11,7,2,1,1,0,0,0,0,pass,8,1
haiku,c,rle,True,5,4,0,0,1,1,0,2,0,0,pass,3,1
haiku,c,roman,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,c,transpose,True,6,5,3,0,1,1,0,0,0,0,pass,1,1
haiku,c,wordfreq,True,13,12,6,0,1,2,0,3,1,0,fail,8,1
haiku,forth,anagrams,False,41,45,13,15,12,4,0,1,4,7,fail,8,1
haiku,forth,brackets,False,41,40,7,20,6,6,0,1,6,5,fail,1,1
haiku,forth,calc,False,41,46,11,17,15,2,0,1,2,7,fail,9,1
haiku,forth,dijkstra,False,41,40,8,1,18,12,0,1,12,1,fail,8,1
haiku,forth,lcs,False,41,40,3,8,20,8,0,1,8,3,fail,3,1
haiku,forth,roman,False,41,40,14,12,10,3,0,1,3,3,fail,9,1
haiku,forth,transpose,False,25,24,10,2,6,6,0,0,5,1,fail,9,1
haiku,forth,wordfreq,False,41,40,10,10,17,3,0,0,3,8,fail,11,1
haiku,go,anagrams,True,11,10,6,1,1,1,0,1,0,0,pass,8,1
haiku,go,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,go,calc,True,10,9,7,0,1,1,0,0,0,0,pass,8,1
haiku,go,dijkstra,True,13,12,6,1,1,2,0,2,1,0,fail,8,1
haiku,go,lcs,True,10,9,6,0,1,1,0,1,0,0,pass,8,1
haiku,go,primes,True,11,10,6,1,1,1,0,1,0,0,pass,8,1
haiku,go,rle,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,go,roman,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,go,transpose,True,4,3,0,1,1,1,0,0,0,0,pass,1,1
haiku,go,wordfreq,True,11,10,6,1,1,1,0,1,0,0,pass,8,1
haiku,haskell,anagrams,True,5,4,2,0,1,1,0,0,0,0,pass,1,1
haiku,haskell,brackets,True,6,5,3,0,1,1,0,0,0,0,pass,1,1
haiku,haskell,calc,True,11,10,4,3,1,1,0,1,0,0,pass,1,1
haiku,haskell,dijkstra,True,12,11,8,1,1,1,0,0,0,0,pass,1,1
haiku,haskell,lcs,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,haskell,primes,True,10,9,6,0,1,1,0,1,0,0,pass,8,1
haiku,haskell,rle,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,haskell,roman,True,15,14,9,0,2,2,0,1,1,0,fail,10,1
haiku,haskell,transpose,True,4,3,1,0,1,1,0,0,0,0,pass,1,1
haiku,haskell,wordfreq,True,15,14,6,1,1,3,0,3,2,0,fail,8,1
haiku,java,anagrams,True,10,9,6,0,1,1,0,1,0,0,pass,8,1
haiku,java,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,java,calc,True,13,12,6,3,1,1,0,1,0,0,pass,8,1
haiku,java,dijkstra,True,11,10,7,0,1,1,0,1,0,0,pass,9,1
haiku,java,lcs,True,10,9,6,0,1,1,0,1,0,0,pass,8,1
haiku,java,primes,True,12,11,7,0,1,2,0,1,1,0,fail,8,1
haiku,java,rle,True,10,9,6,0,1,1,0,1,0,0,pass,8,1
haiku,java,roman,True,11,10,6,1,1,1,0,1,0,0,pass,8,1
haiku,java,transpose,True,10,9,6,0,1,1,0,1,0,0,pass,8,1
haiku,java,wordfreq,True,22,21,10,1,1,2,0,7,1,1,fail,8,1
haiku,javascript,anagrams,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,javascript,brackets,True,10,9,6,0,1,1,0,1,0,0,pass,8,1
haiku,javascript,calc,True,10,9,6,0,1,1,0,1,0,0,pass,8,1
haiku,javascript,dijkstra,True,10,9,7,0,1,1,0,0,0,0,pass,8,1
haiku,javascript,lcs,True,10,9,6,0,1,1,0,1,0,0,pass,8,1
haiku,javascript,primes,True,4,3,1,0,1,1,0,0,0,0,pass,1,1
haiku,javascript,rle,True,4,3,0,1,1,1,0,0,0,0,pass,1,1
haiku,javascript,roman,True,16,15,11,0,1,1,0,2,0,0,pass,14,1
haiku,javascript,transpose,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,javascript,wordfreq,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,k,anagrams,False,41,40,9,4,15,12,0,0,12,3,fail,9,1
haiku,k,brackets,False,41,40,2,6,17,14,0,1,14,1,fail,6,1
haiku,k,calc,False,41,40,7,0,18,14,0,1,14,0,fail,9,1
haiku,k,dijkstra,False,41,40,12,22,1,1,4,0,1,19,fail,9,1
haiku,k,lcs,False,41,40,9,4,15,12,0,0,12,2,fail,10,1
haiku,k,primes,False,41,45,8,10,18,8,0,1,8,10,fail,8,1
haiku,k,rle,False,41,40,11,1,17,11,0,0,11,1,fail,10,1
haiku,k,roman,False,41,40,7,14,11,4,2,2,4,4,fail,1,1
haiku,k,transpose,False,41,40,16,4,6,9,1,4,9,1,fail,8,1
haiku,k,wordfreq,False,41,46,8,8,18,10,1,1,10,7,fail,8,1
haiku,lisp,anagrams,True,9,8,4,1,1,1,0,1,0,0,pass,6,1
haiku,lisp,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,lisp,calc,True,16,15,2,4,3,2,0,4,1,0,fail,9,1
haiku,lisp,dijkstra,True,9,8,2,1,1,2,0,2,1,0,fail,4,1
haiku,lisp,lcs,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,lisp,primes,True,10,9,6,0,1,1,0,1,0,0,pass,8,1
haiku,lisp,rle,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,lisp,roman,True,19,18,8,1,3,3,0,3,2,0,fail,11,1
haiku,lisp,transpose,True,10,9,5,1,1,1,0,1,0,0,pass,7,1
haiku,lisp,wordfreq,True,12,11,7,1,1,1,0,1,0,0,pass,9,1
haiku,perl,anagrams,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,perl,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,perl,calc,True,9,8,5,0,1,1,0,1,0,0,pass,7,1
haiku,perl,dijkstra,True,12,11,6,0,1,2,0,2,1,0,fail,8,1
haiku,perl,lcs,True,14,13,7,1,1,2,0,2,1,1,fail,10,1
haiku,perl,primes,True,12,11,3,4,2,2,0,0,1,0,fail,1,1
haiku,perl,rle,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,perl,roman,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,perl,transpose,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,perl,wordfreq,True,10,9,6,0,1,1,0,1,0,0,pass,8,1
haiku,prolog,anagrams,False,3,2,0,0,1,1,0,0,0,0,pass,1,1
haiku,prolog,brackets,True,4,3,0,1,1,1,0,0,0,0,pass,1,1
haiku,prolog,calc,True,11,10,6,1,1,1,0,1,0,0,pass,8,1
haiku,prolog,dijkstra,False,12,11,6,1,2,2,0,0,1,0,fail,1,1
haiku,prolog,lcs,True,14,13,6,2,2,2,0,1,1,0,fail,6,1
haiku,prolog,primes,True,26,25,12,1,4,5,0,3,3,1,fail,8,1
haiku,prolog,rle,True,8,7,0,4,1,1,0,1,0,1,pass,1,1
haiku,prolog,roman,True,13,12,4,1,2,3,0,2,1,0,fail,5,1
haiku,prolog,transpose,True,16,15,6,2,3,3,0,1,2,0,fail,6,1
haiku,prolog,wordfreq,True,24,23,11,0,3,4,1,4,3,0,fail,8,1
haiku,python,anagrams,True,10,9,6,0,1,1,0,1,0,0,pass,8,1
